"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting"
"0101020300-2-C";"2017-2019";"DIN100pc";0.89860061236603;0.818247011868454;0.89860061236603;"High";"Planteplankton";"Oksygen"
"0101020300-2-C";"2017-2019";"DINP100pc";0.901468734908324;0.823042099803011;0.901468734908324;"High";"Planteplankton";"Oksygen"
"0101020300-2-C";"2017-2019";"DINTSM100pc";0.92109493536848;0.827684076351765;0.92109493536848;"High";"Planteplankton";"Oksygen"
"0101020300-2-C";"2017-2019";"NTSM100pc";0.939530214561745;0.829743730871787;0.939530214561745;"High";"Planteplankton";"Oksygen"
"0101020300-2-C";"2017-2019";"Scenario A";0.95964767038797;0.738632015278266;0.75964767038797;"Good";"Planteplankton";"Oksygen"
"0101020300-2-C";"2017-2019";"Scenario B";0.961917937936275;0.757432058908286;0.761917937936275;"Good";"Planteplankton";"Oksygen"
"0101020400-3-C";"2017-2019";"baseline";0.944587135314941;0.667171446962705;0.744587135314941;"Good";"Planteplankton";"NO3-N vinter"
"0101020400-3-C";"2017-2019";"DIN100pc";0.958588266372681;0.786154363207694;0.786154363207694;"Good";"Planteplankton";"Siktdyp"
"0101020400-3-C";"2017-2019";"DINP100pc";0.959788846969605;0.791284865316934;0.791284865316934;"Good";"Planteplankton";"Siktdyp"
"0101020400-3-C";"2017-2019";"DINTSM100pc";0.971917057037354;0.794111119191756;0.794111119191756;"Good";"Planteplankton";"Siktdyp"
"0101020400-3-C";"2017-2019";"NTSM100pc";0.976379871368408;0.79570238823757;0.79570238823757;"Good";"Planteplankton";"Oksygen"
